Species,x,y
1,80.93461111,26.83811111
1,80.969728,15.851021
1,81.05068,28.20072
1,81.05463889,28.31302778
1,81.05845,28.39705
1,81.07303,28.35817
1,81.083,23.6
1,81.0915,28.34165
1,81.10025,28.30569
1,81.10413,28.35623
1,81.10555556,28.28316667
1,81.1198846,16.0168688
1,81.12552,28.35428
1,81.131229,15.977549
1,81.14204,28.13172
1,81.147481,28.302347
1,81.15176,28.21239
1,81.1537,28.32999
1,81.15467,28.19392
1,81.16536,28.28528
1,81.16731,28.17059
1,81.182389,28.325028
1,81.184845,16.1054528
1,81.1901128,16.1436084
1,81.19452,28.2085
1,81.19880556,28.19047222
1,81.2039,28.34609
1,81.20911111,28.23433333
1,81.2571305,16.2767656
1,81.25964,28.20267
1,81.264528,16.2945174
1,81.3,28.13
1,81.311295,16.3460438
1,81.3479608,16.334083
1,81.385532,16.362931
1,81.466588,28.466406
1,81.4909,28.43125
1,81.76667,28.21667
1,81.9522679,16.4321285
1,81.96442,16.45669
1,82.0189154,16.442887
1,82.0374012,16.4575086
1,82.08791667,26.26822222
1,82.2246864,16.5834932
1,82.23,16.68
1,82.24,16.94
1,82.24169444,16.57055556
1,82.248744,16.881373
1,82.249133,16.839148
1,82.27366667,16.85247222
1,82.287598,17.31638
1,82.301997,16.780957
1,82.861011,17.4204049
1,83.073592,27.610781
1,83.102243,27.629287
1,83.34299419,27.17304054
1,83.35,17.76
1,83.9106815,18.2708898
1,83.91844444,27.28019444
1,83.94437,27.29976
1,83.95678817,26.74618347
1,83.96558,27.25423
1,83.992,27.20988889
1,84.01637,27.20826
1,84.02687,27.18287
1,84.08333,27.56667
1,84.129955,27.543382
1,84.212992,27.531643
1,84.3472123,18.5633466
1,84.424881,18.6627839
1,84.45,27.62
1,84.49594,18.89752
1,84.5,27.55
1,84.5362032,18.8799886
1,84.53891667,27.31772222
1,84.5510548,18.8991458
1,84.5828229,18.8791051
1,84.6952343,26.34563331
1,84.75447819,19.39196253
1,84.840015,27.325002
1,84.892,27.235
1,84.914,27.234
1,84.946,27.246
1,85.24810634,19.62152894
1,85.436713,19.892582
1,85.444556,19.920306
1,85.88092268,20.28859588
1,86.22367,22.54843
1,86.61264,20.31406
1,86.65457723,20.31710696
1,86.6666,23.43333
1,86.89862071,20.79328969
1,87.0171,20.6869
1,87.023056,22.115083
1,87.031,26.621
1,87.0827,26.689
1,87.083279,26.583195
1,87.25263889,22.3895
1,87.37896031,21.63774254
1,87.48176502,25.22641684
1,87.69478,23.1796
1,87.7837,22.554
1,87.88363,22.4444
1,87.92013889,21.98366667
1,87.92937,22.56913
1,87.932397,22.732775
1,87.93618,22.55176
1,87.9544,22.9533
1,87.96038,22.41573
1,87.967711,22.538469
1,87.97372,22.52028
1,87.980644,22.557811
1,87.99077,22.53504
1,87.99784,22.50878
1,88.017439,22.538181
1,88.02106,22.31312
1,88.0312,24.5489
1,88.03294,22.22297
1,88.0339,22.1998
1,88.04535,22.336311
1,88.07083,22.28279
1,88.08604,22.3461
1,88.09357,22.58139
1,88.12637,22.55516
1,88.15936111,22.60797222
1,88.175583,22.431171
1,88.18958333,22.61705556
1,88.19683,22.55119
1,88.2182,22.61465
1,88.276833,22.703608
